X,Y,OBJECTID,CODI_ENS,NOM_ENS,TIPUS,MODEL,LONGITUD,LATITUD,EXTRACCIO
418646.8715,4578381.8226,24437,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.027481,41.352829,2023/04/10 07:10:15+00
418890.9789,4578372.3159,24438,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.0304,41.352768,2023/04/10 07:10:15+00
419052.1431,4579004.5097,24439,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.032242,41.358478,2023/04/10 07:10:15+00
419144.5043,4578937.4152,24440,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.033355,41.357883,2023/04/10 07:10:15+00
418977.3137,4578888.5393,24441,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.031363,41.357426,2023/04/10 07:10:15+00
417825.2599,4578356.6638,24442,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.017664,41.352519,2023/04/10 07:10:15+00
417799.5111,4578417.4683,24443,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.017348,41.353064,2023/04/10 07:10:15+00
417930.8657,4578173.7078,24444,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.018951,41.350882,2023/04/10 07:10:15+00
419121.1464,4577877.8737,24445,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.033217,41.348338,2023/04/10 07:10:15+00
419051.5524,4577864.5488,24446,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.032387,41.348211,2023/04/10 07:10:15+00
419232.8798,4577896.0595,24447,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.03455,41.348513,2023/04/10 07:10:15+00
418931.1001,4577844.9087,24448,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.03095,41.348022,2023/04/10 07:10:15+00
419142.9276,4577805.238,24449,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.033487,41.347686,2023/04/10 07:10:15+00
418875.6673,4577833.5369,24450,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.030289,41.347914,2023/04/10 07:10:15+00
418326.607,4577036.4896,24451,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.023834,41.34068,2023/04/10 07:10:15+00
418492.4565,4577058.6079,24452,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.025813,41.340896,2023/04/10 07:10:15+00
418713.5495,4577186.8127,24453,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.028438,41.342073,2023/04/10 07:10:15+00
418438.3118,4577207.1111,24454,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.025146,41.342228,2023/04/10 07:10:15+00
418502.8663,4576920.0339,24455,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.025956,41.339649,2023/04/10 07:10:15+00
417865.0393,4577332.8262,24456,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.018278,41.343302,2023/04/10 07:10:15+00
418677.5535,4576961.4877,24457,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.028038,41.34004,2023/04/10 07:10:15+00
418079.7776,4577261.0034,24458,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.020854,41.342677,2023/04/10 07:10:15+00
417693.5692,4577294.3534,24459,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.016234,41.342938,2023/04/10 07:10:15+00
418111.0684,4578520.7576,24460,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.021058,41.354026,2023/04/10 07:10:15+00
418521.8149,4578599.6284,24461,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.025957,41.354778,2023/04/10 07:10:15+00
418052.5504,4578435.9234,24462,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.02037,41.353256,2023/04/10 07:10:15+00
418203.2816,4578455.5404,24463,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.022169,41.353448,2023/04/10 07:10:15+00
418171.7453,4578144.4499,24464,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.021834,41.350643,2023/04/10 07:10:15+00
418472.1147,4578480.0498,24465,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.025379,41.353696,2023/04/10 07:10:15+00
418206.2135,4578300.0618,24466,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.022225,41.352048,2023/04/10 07:10:15+00
