,base_solution,heuristic,search,iterations,temp_coef,population_size,mutation_probability,tabu_queue_coef,swap_any_to_generate,TotalDistance,TotalTime,UnusedTrucksCount,OrphansCount,execution_time,TotalFuel,TrucksCount
263,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,ANNEALING,3000.0,0.0001,,,,,1812.9713000000004,6.9261044474246765,0,0,133.94250917434692,453.2428250000001,15
264,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,GENETIC,400.0,,10.0,0.1,,,1804.7014,4.798657780012951,0,0,431.8666229248047,451.17535,20
265,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,GENETIC,400.0,,20.0,0.3,,,1802.0709,4.799982224457396,0,0,727.9731318950653,450.517725,20
266,SIMPLE_GREEDY,ANY_MOVE_SWAP,TABU,200.0,,,,0.3,,1786.0980999999997,6.920791114091342,0,0,62.08091378211975,446.5245249999999,15
267,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,TABU,500.0,,,,0.3,,1819.4071000000004,4.742222224457395,0,0,71.18682599067688,454.8517750000001,20
268,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,TABU,500.0,,,,0.3,500.0,1785.0524,6.701095558535788,0,0,270.20388197898865,446.2631,15
269,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,TABU,500.0,,,,0.3,,1780.9603,6.672011114091343,0,0,93.5100839138031,445.240075,15
270,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,GENETIC,200.0,,10.0,0.1,,,1776.6231999999998,6.642166669646898,0,0,199.68718695640564,444.15579999999994,15
271,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,ANNEALING,5000.0,1e-05,,,,,1777.7282000000002,6.642033336313565,0,0,351.7478210926056,444.43205000000006,15
272,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,GENETIC,200.0,,20.0,0.3,,,1811.0247,4.747157780012951,0,0,180.8243751525879,452.756175,20
273,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,ANNEALING,3000.0,1e-05,,,,,1779.2960999999998,6.670771114091342,0,0,213.19447207450867,444.82402499999995,15
274,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,TABU,500.0,,,,0.5,,1756.8675,12.913904448169735,0,0,70.37083292007446,439.216875,10
275,SIMPLE_GREEDY,,NO_SEARCH,,,,,,,1779.3272000000002,13.230853337058623,0,0,50.73521089553833,444.83180000000004,10
276,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,TABU,200.0,,,,0.5,,1820.5137000000002,4.910791113346284,0,0,61.367942094802856,455.12842500000005,20
277,SIMPLE_GREEDY,ANY_EXPORTATION_TIME1,TABU,500.0,,,,0.3,500.0,1747.8598,12.806244448169736,0,0,278.2603831291199,436.96495,10
278,SIMPLE_GREEDY,ANY_EXPORTATION_TIME1,TABU,500.0,,,,0.3,,1816.9957000000004,4.7850800022351745,0,0,71.12075901031494,454.2489250000001,20
279,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,ANNEALING,5000.0,0.0001,,,,,1779.3272000000002,13.230853337058623,0,0,155.0181601047516,444.83180000000004,10
280,SIMPLE_GREEDY,ANY_EXPORTATION_TIME1,TABU,200.0,,,,0.3,,1793.6673000000003,6.917777780758011,0,0,63.428499937057495,448.4168250000001,15
281,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,ANNEALING,5000.0,0.0001,,,,,1742.893,12.883404448169737,0,0,312.72856187820435,435.72325,10
282,SIMPLE_GREEDY,ANY_EXPORTATION,TABU,500.0,,,,0.5,,1792.5910000000001,6.883480002980231,0,0,82.34533596038818,448.14775000000003,15
283,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,GENETIC,200.0,,20.0,0.1,,,1748.2262999999998,12.807306670391956,0,0,201.70775818824768,437.05657499999995,10
284,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,TABU,200.0,,,,0.3,,1742.7744999999998,12.863264448169732,0,0,70.00423812866211,435.69362499999994,10
285,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,ANNEALING,5000.0,1e-05,,,,,1779.3272000000002,13.230853337058623,0,0,101.78182005882263,444.83180000000004,10
286,SIMPLE_GREEDY,ANY_MOVE_EXPORTATION,ANNEALING,3000.0,0.0001,,,,,1793.7752,6.862380002980232,0,0,279.08902883529663,448.4438,15
287,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,GENETIC,400.0,,10.0,0.3,,,1778.2970999999998,6.619151114091343,0,0,320.92781615257263,444.57427499999994,15
288,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,GENETIC,200.0,,20.0,0.1,,,1773.7743999999998,6.600500002980231,0,0,228.07199597358704,443.44359999999995,15
289,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,TABU,500.0,,,,0.3,500.0,1808.0764,4.844975557790729,0,0,232.64160418510437,452.0191,20
290,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,GENETIC,400.0,,20.0,0.3,,,1740.9724999999999,12.835326670391957,0,0,344.7950930595398,435.24312499999996,10
291,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,GENETIC,400.0,,10.0,0.1,,,1774.8791,6.663555558535789,0,0,342.64377069473267,443.719775,15
292,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,GENETIC,200.0,,10.0,0.1,,,1745.8335999999995,12.875275559280844,0,0,128.70967197418213,436.45839999999987,10
293,SIMPLE_GREEDY,ANY_MOVE_EXPORTATION,ANNEALING,5000.0,0.0001,,,,,1808.6843999999999,4.763080002235174,0,0,437.0043189525604,452.17109999999997,20
294,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,ANNEALING,5000.0,1e-05,,,,,1804.443,4.799982224457396,0,0,343.0838031768799,451.11075,20
295,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,ANNEALING,5000.0,1e-05,,,,,1778.2233999999999,6.6485177807580085,0,0,336.96476006507874,444.55584999999996,15
296,SIMPLE_GREEDY,ANY_MOVE_SWAP,ANNEALING,3000.0,1e-05,,,,,1779.3272000000002,13.230853337058623,0,0,153.85558080673218,444.83180000000004,10
