FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-208f,loc1151,1151,Willemstraat,167,huisvuil - loc1151,53.2085,6.5773,POINT (234510.312 580867.545)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-208e,loc1151,1151,Willemstraat,168,huisvuil - loc1151,53.2085,6.5773,POINT (234510.312 580867.545)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-208d,loc1152,1152,Verlengde Feithstraat,169,huisvuil - loc1152,53.2093,6.5748,POINT (234342.495 580953.824)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-208c,loc1153,1153,Hereweg Noord,170,huisvuil - loc1153,53.2089,6.5724,POINT (234186.345 580900.051)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-208b,loc1154,1154,Rabenhauptstraat,171,huisvuil - loc1154,53.2097,6.5715,POINT (234123.327 580993.628)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-208a,loc1154,1154,Rabenhauptstraat,172,huisvuil - loc1154,53.2097,6.5715,POINT (234123.327 580993.628)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2089,loc1155,1155,Davidstraat,173,huisvuil - loc1155,53.2098,6.57,POINT (234020.246 581004.179)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2088,loc1155,1155,Davidstraat,174,huisvuil - loc1155,53.2098,6.57,POINT (234020.246 581004.179)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2087,loc1156,1156,Driehovenstraat,175,huisvuil - loc1156,53.2102,6.5691,POINT (233959.355 581049.929)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2086,loc1157,1157,Achterweg,176,huisvuil - loc1157,53.2098,6.568,POINT (233890.068 580996.478)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2085,loc1157,1157,Achterweg,177,huisvuil - loc1157,53.2098,6.568,POINT (233890.068 580996.478)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2084,loc1158,1158,Merwedestraat Noord,178,huisvuil - loc1158,53.2083,6.5675,POINT (233854.708 580830.048)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2083,loc1159,1159,Geulstraat,179,huisvuil - loc1159,53.2089,6.57,POINT (234025.882 580905.206)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2082,loc1159,1159,Geulstraat,180,huisvuil - loc1159,53.2089,6.57,POINT (234025.882 580905.206)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2081,loc1159,1159,Geulstraat,1369,huisvuil - loc1159,53.2089,6.57,POINT (234025.882 580905.206)
