FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2129,loc3504,3504,De Held,G14,glas - loc3504,53.2278,6.5144,POINT (230276.55 582946.618)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2128,loc3505,3505,Saffierstraat,G236,glas - loc3505,53.2297,6.5216,POINT (230752.715 583163.352)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2127,loc3506,3506,Aquamarijnstraat,G16,glas - loc3506,53.232,6.5243,POINT (230928.963 583422.141)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2126,loc3507,3507,Siersteenlaan,G18,glas - loc3507,53.2255,6.528,POINT (231184.753 582706.015)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2125,loc3507,3507,Siersteenlaan,G20,glas - loc3507,53.2255,6.528,POINT (231184.753 582706.015)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2124,loc3507,3507,Siersteenlaan,G22,glas - loc3507,53.2255,6.528,POINT (231184.753 582706.015)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2123,loc3508,3508,Platinalaan,G24,glas - loc3508,53.2251,6.5294,POINT (231281.747 582655.237)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2122,loc3508,3508,Platinalaan,G26,glas - loc3508,53.2251,6.5294,POINT (231281.747 582655.237)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2121,loc3510,3510,Goudlaan,G28,glas - loc3510,53.2289,6.5307,POINT (231363.744 583086.19)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2120,loc3511,3511,Avondsterlaan,G30,glas - loc3511,53.2309,6.5339,POINT (231571.912 583309.892)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-211f,loc3512,3512,Metaallaan,G32,glas - loc3512,53.2224,6.5354,POINT (231686.578 582360.024)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-211e,loc3514,3514,Meteoorstraat hoek Zonnelaan,G455,glas - loc3514,53.2343,6.5392,POINT (231921.015 583698.366)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-211d,loc3515,3515,Aloglln hoek Polluxstr (voorheenEikenln),G38,glas - loc3515,53.2325,6.5429,POINT (232171.287 583500.903)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-211c,loc3516,3516,Rembrandt van Rijnstraat,G40,glas - loc3516,53.2183,6.5431,POINT (232206.781 581914.2)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-211b,Loc3517,3517,Grote Beerstraat,G42,glas - Loc3517,53.2255,6.5449,POINT (232318.815 582716.313)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-211a,Loc3518,3518,Spirealaan/Duindoornstraat,G44,glas - Loc3518,53.2361,6.5452,POINT (232313.793 583900.568)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2119,loc3519,3519,Pleiadenlaan,G46,glas - loc3519,53.2294,6.5449,POINT (232311.15 583151.41)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2118,loc3519,3519,Pleiadenlaan,G48,glas - loc3519,53.2294,6.5449,POINT (232311.15 583151.41)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2117,loc3520,3520,Rembrandt van Rijnstraat,G50,glas - loc3520,53.2159,6.5453,POINT (232361.902 581657.341)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2116,loc3521,3521,Dierenriemstraat,G54,glas - loc3521,53.2303,6.5458,POINT (232364.872 583258.018)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2115,loc3521,3521,Dierenriemstraat,G56,glas - loc3521,53.2303,6.5458,POINT (232364.872 583258.018)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2114,Loc3522,3522,Paterswoldseweg,G58,glas - Loc3522,53.1831,6.5446,POINT (232373.883 578002.173)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2113,Loc3522,3522,Paterswoldseweg,G60,glas - Loc3522,53.1831,6.5446,POINT (232373.883 578002.173)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2112,loc3523,3523,Wilhelminakade,G62,glas - loc3523,53.2194,6.5468,POINT (232456.525 582046.219)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2111,loc3523,3523,Wilhelminakade,G64,glas - loc3523,53.2194,6.5468,POINT (232456.525 582046.219)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2110,loc3525,3525,Prunusstraat,G70,glas - loc3525,53.2353,6.5496,POINT (232614.263 583820.811)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-210f,Loc3526,3526,Esdoornlaan,G72,glas - Loc3526,53.2365,6.5504,POINT (232662.269 583949.592)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-210e,loc3527,3527,Kerklaan,G74,glas - loc3527,53.225,6.5522,POINT (232802.396 582677.357)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-210d,loc3527,3527,Kerklaan,G76,glas - loc3527,53.225,6.5522,POINT (232802.396 582677.357)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-210c,loc3528,3528,Van Heemskerckstraat/Abel Tasmanplein,G78,glas - loc3528,53.2138,6.5515,POINT (232780.463 581431.45)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-210b,Loc3529,3529,Verzetstrijderslaan,G80,glas - Loc3529,53.2079,6.5517,POINT (232801.859 580769.507)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-210a,Loc3529,3529,Verzetstrijderslaan,G82,glas - Loc3529,53.2079,6.5517,POINT (232801.859 580769.507)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2109,loc3530,3530,Bedumerweg,G266,glas - loc3530,53.2342,6.5642,POINT (233589.2 583704.181)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2108,Loc3531,3531,Esdoornlaan,G84,glas - Loc3531,53.2337,6.5522,POINT (232787.523 583637.722)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2107,Loc3531,3531,Esdoornlaan,G86,glas - Loc3531,53.2337,6.5522,POINT (232787.523 583637.722)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2106,Loc3532,3532,Aweg,G88,glas - Loc3532,53.215,6.5531,POINT (232883.174 581566.682)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2105,Loc3532,3532,Aweg,G90,glas - Loc3532,53.215,6.5531,POINT (232883.174 581566.682)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2104,loc3535,3535,Iepenlaan,G96,glas - loc3535,53.2377,6.5549,POINT (232959.168 584090.194)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2103,Loc3536,3536,Kraneweg,G98,glas - Loc3536,53.2182,6.5551,POINT (233013.158 581914.959)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2102,Loc3536,3536,Kraneweg,G108,glas - Loc3536,53.2182,6.5551,POINT (233013.158 581914.959)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2101,loc3537,3537,B S F von Suttnerstraat,G100,glas - loc3537,53.1877,6.5545,POINT (233027.997 578526.964)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-2100,loc3537,3537,B S F von Suttnerstraat,G102,glas - loc3537,53.1877,6.5545,POINT (233027.997 578526.964)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20ff,loc3544,3544,Nieuwe Kijk in 't Jatstraat,G110,glas - loc3544,53.2238,6.5583,POINT (233214.029 582544.893)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20fe,Loc3545,3545,M K Ghandhiplein,G114,glas - Loc3545,53.1866,6.5578,POINT (233249.869 578409.238)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20fd,loc3546,3546,Asingastraat,G116,glas - loc3546,53.233,6.5594,POINT (233273.527 583567.688)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20fc,loc3546,3546,Asingastraat,G408,glas - loc3546,53.233,6.5594,POINT (233273.527 583567.688)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20fb,loc3547,3547,Johan de Wittstraat,G118,glas - loc3547,53.2295,6.5594,POINT (233275.14 583181.467)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20fa,loc3548,3548,Overwinningsplein,G120,glas - loc3548,53.1982,6.5607,POINT (233418.049 579699.809)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20f9,loc3548,3548,Overwinningsplein,G122,glas - loc3548,53.1982,6.5607,POINT (233418.049 579699.809)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20f8,Loc3549,3549,Westinghousestraat,G124,glas - Loc3549,53.207,6.5592,POINT (233304.549 580677.479)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20f7,Loc3550,3550,Schaaksport,G126,glas - Loc3550,53.1917,6.5598,POINT (233371.023 578975.539)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20f6,loc3552,3552,Vismarkt,G128,glas - loc3552,53.2166,6.563,POINT (233538.36 581746.519)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20f5,loc3552,3552,Vismarkt,G130,glas - loc3552,53.2166,6.563,POINT (233538.36 581746.519)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20f4,loc3553,3553,Borgwal,G132,glas - loc3553,53.2341,6.564,POINT (233577.237 583700.646)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20f3,Loc3554,3554,Gedempte Zuiderdiep 105,G484,glas - Loc3554,53.2146,6.564,POINT (233613.396 581529.577)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-20f2,Loc3554,3554,Gedempte Zuiderdiep 105,G486,glas - Loc3554,53.2146,6.564,POINT (233613.396 581529.577)
