FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a1e,Loc3518,3518,Spirealaan/Duindoornstraat,P104,papier - Loc3518,53.2361,6.5452,POINT (232313.793 583900.568)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a1d,loc3519,3519,Pleiadenlaan,P118,papier - loc3519,53.2294,6.5449,POINT (232311.15 583151.41)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a1c,loc3519,3519,Pleiadenlaan,P120,papier - loc3519,53.2294,6.5449,POINT (232311.15 583151.41)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a1b,loc3520,3520,Rembrandt van Rijnstraat,P162,papier - loc3520,53.2159,6.5453,POINT (232361.902 581657.341)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a1a,loc3520,3520,Rembrandt van Rijnstraat,P164,papier - loc3520,53.2159,6.5453,POINT (232361.902 581657.341)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a19,loc3520,3520,Rembrandt van Rijnstraat,P615,papier - loc3520,53.2159,6.5453,POINT (232361.902 581657.341)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a18,loc3521,3521,Dierenriemstraat,P122,papier - loc3521,53.2303,6.5458,POINT (232364.872 583258.018)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a17,loc3521,3521,Dierenriemstraat,P124,papier - loc3521,53.2303,6.5458,POINT (232364.872 583258.018)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a16,loc3521,3521,Dierenriemstraat,P640,papier - loc3521,53.2303,6.5458,POINT (232364.872 583258.018)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a15,Loc3522,3522,Paterswoldseweg,P186,papier - Loc3522,53.1831,6.5446,POINT (232373.883 578002.173)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a14,Loc3522,3522,Paterswoldseweg,P188,papier - Loc3522,53.1831,6.5446,POINT (232373.883 578002.173)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a13,Loc3522,3522,Paterswoldseweg,P614,papier - Loc3522,53.1831,6.5446,POINT (232373.883 578002.173)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a12,loc3523,3523,Wilhelminakade,P158,papier - loc3523,53.2194,6.5468,POINT (232456.525 582046.219)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a11,loc3523,3523,Wilhelminakade,P160,papier - loc3523,53.2194,6.5468,POINT (232456.525 582046.219)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a10,loc3523,3523,Wilhelminakade,P280,papier - loc3523,53.2194,6.5468,POINT (232456.525 582046.219)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a0f,loc3525,3525,Prunusstraat,P102,papier - loc3525,53.2353,6.5496,POINT (232614.263 583820.811)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a0e,Loc3526,3526,Esdoornlaan,P100,papier - Loc3526,53.2365,6.5504,POINT (232662.269 583949.592)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a0d,Loc3526,3526,Esdoornlaan,P423,papier - Loc3526,53.2365,6.5504,POINT (232662.269 583949.592)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a0c,loc3527,3527,Kerklaan,P126,papier - loc3527,53.225,6.5522,POINT (232802.396 582677.357)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a0b,loc3527,3527,Kerklaan,P427,papier - loc3527,53.225,6.5522,POINT (232802.396 582677.357)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a0a,loc3527,3527,Kerklaan,P128,papier - loc3527,53.225,6.5522,POINT (232802.396 582677.357)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a09,loc3528,3528,Van Heemskerckstraat/Abel Tasmanplein,P178,papier - loc3528,53.2138,6.5515,POINT (232780.463 581431.45)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a08,loc3528,3528,Van Heemskerckstraat/Abel Tasmanplein,P462,papier - loc3528,53.2138,6.5515,POINT (232780.463 581431.45)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a07,loc3528,3528,Van Heemskerckstraat/Abel Tasmanplein,P180,papier - loc3528,53.2138,6.5515,POINT (232780.463 581431.45)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a06,Loc3529,3529,Verzetstrijderslaan,P182,papier - Loc3529,53.2079,6.5517,POINT (232801.859 580769.507)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a05,Loc3529,3529,Verzetstrijderslaan,P184,papier - Loc3529,53.2079,6.5517,POINT (232801.859 580769.507)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a04,Loc3529,3529,Verzetstrijderslaan,P641,papier - Loc3529,53.2079,6.5517,POINT (232801.859 580769.507)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a03,loc3530,3530,Bedumerweg,P322,papier - loc3530,53.2342,6.5642,POINT (233589.2 583704.181)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a02,Loc3531,3531,Esdoornlaan,P108,papier - Loc3531,53.2337,6.5522,POINT (232787.523 583637.722)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a01,Loc3531,3531,Esdoornlaan,P110,papier - Loc3531,53.2337,6.5522,POINT (232787.523 583637.722)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1a00,Loc3531,3531,Esdoornlaan,P616,papier - Loc3531,53.2337,6.5522,POINT (232787.523 583637.722)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-19ff,Loc3531,3531,Esdoornlaan,P617,papier - Loc3531,53.2337,6.5522,POINT (232787.523 583637.722)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-19fe,Loc3532,3532,Aweg,P170,papier - Loc3532,53.215,6.5531,POINT (232883.174 581566.682)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-19fd,Loc3532,3532,Aweg,P172,papier - Loc3532,53.215,6.5531,POINT (232883.174 581566.682)
